timestamp,subject_id,item_id,is_correct
1567413540117,u12531,q3605,False
1567413573276,u12531,q4895,False
1567413619332,u12531,q5365,False
1567413640139,u12531,q5577,False
1567413670061,u12531,q869,False
1567413692822,u12531,q743,True
1566719300213,u13940,q11767,True
1566719358769,u13940,q11769,True
1566719373065,u13940,q11770,False
1566719394350,u13940,q11768,True
1566719448292,u13940,q10892,True
1566719499221,u13940,q10893,False
1566719514023,u13940,q10894,True
1566719524529,u13940,q10895,False
1567871886357,u13940,q11595,True
1567871895398,u13940,q11596,True
1567871925336,u13940,q11597,False
1567871957757,u13940,q11598,True
1567872182928,u13940,q11743,True
1567872208037,u13940,q11744,False
1567872247192,u13940,q11745,False
1567872256826,u13940,q11746,True
1567872306021,u13940,q10920,True
1567872319086,u13940,q10921,True
1567872357184,u13940,q10922,False
1567872366554,u13940,q10923,True
1567872416683,u13940,q11811,False
1567872447833,u13940,q11812,True
1567872471056,u13940,q11813,False
1567872482491,u13940,q11814,True
1567455852287,u14591,q5409,True
1567455870463,u14591,q4918,False
1567455891489,u14591,q4607,True
1567455927505,u14591,q6200,True
1567455953747,u14591,q4324,True
1567455973346,u14591,q214,True
1567455977712,u14591,q214,False
1567455978881,u14591,q214,True
1567456015944,u14591,q5770,False
1567456048296,u14591,q4314,False
1567456087458,u14591,q3922,False
1567456119057,u14591,q6731,False
1567525833033,u17201,q4868,True
1567525865646,u17201,q4326,True
1567525883538,u17201,q6382,True
1567525906361,u17201,q218,True
1567525968169,u17201,q4043,False
1567525992966,u17201,q9641,True
1567526008094,u17201,q4813,True
1567526034004,u17201,q4529,True
1567526053659,u17201,q5805,False
1567526072249,u17201,q4599,True
1567526111669,u17201,q4151,False
1567858564109,u17201,q10637,False
1567858705207,u17201,q6648,False
1567858717538,u17201,q6648,True
1568614022505,u17201,q6852,True
1568614149462,u17201,q11842,False
1568614151026,u17201,q11841,True
1568614156596,u17201,q11842,False
1568614158027,u17201,q11842,True
1568614252961,u17201,q6916,True
1568614354325,u17201,q6864,True
1568614445364,u17201,q6932,True
1546155671990,u17245,q6418,False
1546155699485,u17245,q5863,True
1546155730846,u17245,q5948,False
1546155765336,u17245,q388,True
1546155786380,u17245,q377,True
1546155820047,u17245,q4813,True
1546155853755,u17245,q4607,False
1546184826321,u17245,q8661,False
1546184879032,u17245,q4166,False
1546184934291,u17245,q5741,True
1546184964275,u17245,q9094,True
1546185018820,u17245,q6190,False
1546185054616,u17245,q3782,False
1546185106961,u17245,q5687,False
1546185158430,u17245,q9856,False
1546185228703,u17245,q4530,False
1546185505789,u17245,q4530,True
1546185524977,u17245,q5687,True
1546185564860,u17245,q4402,True
1546185660970,u17245,q519,True
1546185748596,u17245,q482,True
1546185774908,u17245,q1169,True
1546185829942,u17245,q11259,False
1546185940016,u17245,q665,False
1546186000895,u17245,q881,True
1546186049782,u17245,q1389,False
1546186083471,u17245,q11262,False
1546186149499,u17245,q818,True
1546186193398,u17245,q918,True
1546328818729,u17245,q6074,False
1546328852680,u17245,q6741,True
1546328867253,u17245,q9579,True
1546328890621,u17245,q9737,False
1546328914148,u17245,q4474,True
1546328939422,u17245,q4630,False
1546328968017,u17245,q4172,False
1546328974888,u17245,q4172,False
1546328975519,u17245,q4172,False
1546328976156,u17245,q4172,False
1546329010675,u17245,q8615,False
1546329052858,u17245,q9599,True
1546329061342,u17245,q5667,True
1546602722339,u17245,q516,False
1546602756650,u17245,q667,False
1546602797223,u17245,q8160,True
1546602828628,u17245,q8051,True
1546602855294,u17245,q8110,False
1546606642332,u17245,q10994,True
1546606671532,u17245,q43,True
1546606697187,u17245,q9,True
1546606718453,u17245,q69,False
1546606726266,u17245,q69,True
1546606761038,u17245,q10982,True
1546606794441,u17245,q8061,True
1546606825961,u17245,q8079,False
1546606899363,u17245,q84,False
1546607019576,u17245,q11188,False
1547137763620,u17245,q6497,False
1547137849573,u17245,q5046,True
1547137882354,u17245,q4491,True
1547137914079,u17245,q5070,False
1547137959488,u17245,q9326,False
1547137966758,u17245,q9326,True
1547137995734,u17245,q4509,False
1547138031878,u17245,q5329,False
1547138055573,u17245,q5390,True
1547138098902,u17245,q9564,False
1547388009442,u17245,q5274,False
1547388042605,u17245,q6440,False
1547388092411,u17245,q6087,True
1547388139217,u17245,q8647,True
1547388183538,u17245,q4558,False
1547388242032,u17245,q8482,False
1547388280790,u17245,q5660,True
1547388313633,u17245,q9741,False
1547388350946,u17245,q5459,True
1547388370090,u17245,q5321,True
1547388410236,u17245,q3898,False
1547388434300,u17245,q458,True
1547388500529,u17245,q295,True
1547388548114,u17245,q661,True
1547388600195,u17245,q1090,True
1547388605530,u17245,q1090,True
1547388640941,u17245,q1275,True
1547388718506,u17245,q11249,True
1547388780753,u17245,q544,False
1547388785532,u17245,q544,True
1547388835404,u17245,q1288,True
1547388898898,u17245,q306,True
1547563062840,u17245,q935,True
1547563125301,u17245,q1343,True
1547563125767,u17245,q1343,False
1548949072522,u17245,q1265,True
1548949109948,u17245,q11261,False
1549901546013,u17245,q9372,False
1549901578001,u17245,q4838,True
1549901647919,u17245,q5765,False
1549901710369,u17245,q4533,False
1549901713138,u17245,q4533,True
1549901755060,u17245,q8996,True
1549901784716,u17245,q5060,False
1549901801798,u17245,q5060,False
1549901802564,u17245,q5060,False
1550073982631,u17245,q297,True
1550074024334,u17245,q321,True
1550159647124,u17245,q755,False
1550159678736,u17245,q516,True
1550159697352,u17245,q755,True
1550159700827,u17245,q755,True
1550159721067,u17245,q524,False
1550159727854,u17245,q524,True
1550159768495,u17245,q198,True
1550159812012,u17245,q1340,True
1550159879268,u17245,q439,True
1550159881471,u17245,q439,False
1550159934869,u17245,q470,True
1550159972820,u17245,q421,True
1550160005909,u17245,q677,False
1550160060295,u17245,q400,True
1550160115935,u17245,q1180,True
1550160136606,u17245,q596,False
1550160168784,u17245,q350,True
1550160209225,u17245,q616,False
